"Ventas por linea de artículo","","","","","","","","","","",""
"","Desclinea","Articulo","Descripción","Cant.Vendida","Importe","Impuesto","Total","","$11,041,226.83","$8,376,760.82","75.87%"
"AZU","AZUCAR                                            ","AZU","Azucar ESTANDAR KG","54869.93","1006906.25","0","1006906.25","","","",""
"HUE","HUEVO                                             ","HUALT","Huevo ALTEÑO kg","22923.69","649921.1445","0","649921.1445","","","",""
"CIGARRO","CIGARROS                                          ","CIMAL","Marlboro  ROJO 20c","8745","527007.5","0","527007.5","","","",""
"LEC","LECHES                                            ","LENUT","Nutrileche 1lt","22901","322189.569496","0","322189.569496","","","",""
"QUE","QUESOS                                            ","QUDUR","Queso Durangueño","2633.068","208468.094","0","208468.094","","","",""
"HIGIENICO","HIGIENICOS                                        ","HIVOG55","Vogue  ROSA 600 hojas","6509","187168.37999999","0","187168.37999999","","","",""
"LEC","LECHES                                            ","LEBOR","LECHE BOREAL","11065","136911.65077584","0","136911.65077584","","","",""
"CIGARRO","CIGARROS                                          ","CILIN","Cigarro LINK  ROJO 20c","6748","136420.9","0","136420.9","","","",""
"SOP","SOPAS                                             ","SOMODSU","Sopa la moderna PZA","23054","132730.8","0","132730.8","","","",""
"OTROS","OTROS                                             ","R","RECARGA TELEFONICA","127662","128013","0","128013","","","",""
"HARINA","HARINAS                                           ","HAHOJ","Hoja de Plata KG","12926.75","126617.9374308","0","126617.9374308","","","",""
"HIGIENICO","HIGIENICOS                                        ","HICLO","HIGIENICO CLOUDY 450 H","5059","106894.5792","0","106894.5792","","","",""
"LEC","LECHES                                            ","LELEC","Lechera 397g","4913","101799.26918","0","101799.26918","","","",""
"VELADORAS","VELADORAS","VEFAR5","Farol #5 PZ","7092","100837.22","0","100837.22","","","",""
"ACEITES","ACEITES                                           ","ACCRI15","Aceite Cristal 1.5lt","2588","100264.95","0","100264.95","","","",""
"LEC","LECHES                                            ","LESAN","Santa Clara 1lt","4854","93967.078392","0","93967.078392","","","",""
"YOG","YOGHURT                                           ","YOALP","Yoghurt Alpura 125gr","20931","79604.5347904","0","79604.5347904","","","",""
"SEM","SEMILLAS                                          ","SEAME","Negro AMERICANO KG","2826.965","70311.45","0","70311.45","","","",""
"SOP","SOPAS                                             ","SOMARA","Maruchan CAM/HABANERO pza","7470","68190.0714","0","68190.0714","","","",""
"CAFES","CAFES","CALEGS","Legal   34g SOBRE","11691","68154.4537","0","68154.4537","","","",""
"PAPE","PAPEL                                             ","PAPERC","Periodico CH 25kg","185","67479","0","67479","","","",""
"QUE","QUESOS                                            ","QUCOT","Queso Cotija","819.27","66817.005","0","66817.005","","","",""
"CIGARRO","CIGARROS                                          ","CIDEL24F","Delicados C/FILTRO   25c CHESTERFIELD","1125","62013.76","0","62013.76","","","",""
"QUE","QUESOS                                            ","QUOAXG","Queso Oaxaca Güeros KG","826.085","61704.28","0","61704.28","","","",""
"LEC","LECHES                                            ","LECLA","Clavel  356ml LATA","4058","60985.962448","0","60985.962448","","","",""
"ACEITES","ACEITES                                           ","ACCRIG","Aceite Cristal 20lt MIXTO","118","58296","0","58296","","","",""
"QUE","QUESOS                                            ","QUCHI","Queso Chilchota","616.653","56355.0537","0","56355.0537","","","",""
