"Instituto Nacional de Estadística y Geografía",
"Consulta en línea de los precios promedio del INPC ",
"Publicados en el diario oficial de la Federación mensualmente ",
"Fecha de consulta: 06/01/2021 22:10:46",

"Año","Mes","Fecha_Pub_DOF","Clave ciudad","Nombre ciudad","División","Grupo","Clase","Subclase","Clave generico","Generico","Consecutivo","Especificación","Precio promedio","Cantidad","Unidad","Estatus"
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 01 Tortillas y derivados del maíz","001","Tortilla de maíz","001","A GRANEL","14","1","KG",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 01 Tortillas y derivados del maíz","001","Tortilla de maíz","002","A GRANEL","14","1","KG",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 01 Tortillas y derivados del maíz","001","Tortilla de maíz","003","A GRANEL","14","1","KG",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 01 Tortillas y derivados del maíz","001","Tortilla de maíz","004","A GRANEL","10.3","1","KG",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 01 Tortillas y derivados del maíz","001","Tortilla de maíz","005","A GRANEL","14","1","KG",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 01 Tortillas y derivados del maíz","001","Tortilla de maíz","006","A GRANEL","10.2","1","KG",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 01 Tortillas y derivados del maíz","001","Tortilla de maíz","007","A GRANEL","14","1","KG",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 01 Tortillas y derivados del maíz","001","Tortilla de maíz","008","A GRANEL","14","1","KG",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 01 Tortillas y derivados del maíz","001","Tortilla de maíz","009","A GRANEL","14","1","KG",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 01 Tortillas y derivados del maíz","001","Tortilla de maíz","010","A GRANEL","14.4","1","KG",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 01 Tortillas y derivados del maíz","002","Tostadas","001","DEL HOGAR, TOTOPOS, DE MAIZ, BOLSA DE 280 GR","77.68","1","KG",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 01 Tortillas y derivados del maíz","002","Tostadas","002","CHARRAS, TOSTADAS, PAQ DE 350 GR","59.29","1","KG",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 01 Tortillas y derivados del maíz","003","Masa y harinas de maíz","001","MASECA, HARINA DE MAIZ, PAQ DE 1 KG","13.7","1","KG",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 01 Tortillas y derivados del maíz","003","Masa y harinas de maíz","002","MASECA, HARINA DE MAIZ, PAQ DE 1 KG","13.5","1","KG",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 01 Tortillas y derivados del maíz","003","Masa y harinas de maíz","003","MAIZENA, FECULA DE MAIZ, CAJA DE 425 GR","70.02","1","KG",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 01 Tortillas y derivados del maíz","004","Maíz","001","OVARB, POZOLERO, TITI, S/CABEZA, BOLSA DE 1 KG","30.58","1","KG",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 01 Tortillas y derivados del maíz","004","Maíz","002","LA MERCED, PALOMERO, BOLSA DE 500 GR","25","1","KG",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","005","Pan dulce","001","CONCHA, POR PZA","5","1","PZA",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","005","Pan dulce","002","CONCHA, POR PZA","5","1","PZA",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","005","Pan dulce","003","CONCHA, POR PZA","7","1","PZA",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","006","Pan blanco","001","BOLILLO, POR PZA","2","1","PZA",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","006","Pan blanco","002","TELERA, POR PZA","1.5","1","PZA",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","006","Pan blanco","003","TELERA, POR PZA","2","1","PZA",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","001","BIMBO, BLANCO, BOLSA DE 640 GR","40","1","KG",""
"2018","07","17/08/2018 12:00:00 a. m.","33","Tulancingo, Hgo."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","002","WONDER, INTEGRAL, 100%, BOLSA DE 567 GR","67.9","1","KG",""
